Gen,,FL,FB,FW,NF,FY,PW,SHL,WS,SL,SW,SN,SWF,AL,LL,LD,PL,TL,LR,PEL,FWL,FLL,STL,NI
1,,7,5.5,94.59,126,11.92,51.08,9,1.2,0.505,0.378,172,2.64,65.56,12.2,15.2,2.21,13.16,7.1,3.1,7.1,0.8,1.8,1
1,,5.5,5.3,71.23,121.01,8.62,40.57,11,1.1,0.553,0.322,90,0.99,61.41,13.4,17.9,2.11,13.23,7.2,3.3,6.9,0.9,1.9,1
1,,6,5.2,70.43,132.02,9.3,36.9,8,1.2,0.572,0.364,177,2.124,63.16,12.09,15.1,2.32,13.78,7.2,3.4,6.8,0.8,1.7,1
2,,7.3,6.5,62.17,128,7.96,48.21,8,0.9,0.551,0.357,224,2.17,64.12,11.3,14.87,1.91,12.5,6.9,3.2,6.8,0.8,2,1
2,,6.2,6.3,70.34,138,9.71,44.52,10,0.9,0.548,0.364,242,2.05,62.31,12.56,15.98,2.01,13.2,7.1,3,6.9,0.8,1.7,1
2,,6.4,5.7,62.8,149,9.36,34.23,7,0.9,0.594,0.415,228,2.01,62.62,12.76,15.84,1.89,12.4,7.1,3.4,6.9,0.8,1.6,1
3,,5.912,5.2,50.8,178,9.04,25.07,10,2.31,0.498,0.199,122,2.81,58.24,10.91,13.3,1.82,20.52,5.5,3.1,6.3,1.1,0.8,1
3,,5.921,4.712,41.24,156,6.43,22.7,8,2.31,0.532,0.213,156,3.6,57.59,9.8,12.09,1.73,19.26,5.4,2.9,6.4,1.2,0.7,1
3,,6.021,5.167,43.51,166,7.22,26.01,13,2.31,0.513,0.181,142,3.28,59.14,11.32,14.34,1.64,21.84,5.4,2.8,6.2,1.1,0.6,1
4,,7.21,5.21,52.21,89,4.65,30.61,14,3.4,0.6,0.17,182,6.18,54.7,14.8,10.2,2.53,14.2,0,7.2,5.9,1,1.6,1
4,,7.2,5.32,54.66,72,3.94,32.21,15,3.1,0.6,0.17,155,4.8,63.9,13.32,9.78,2.42,14.7,0,7.4,6.1,0.9,1.6,2
4,,7.12,5.62,53.32,99,5.28,31.21,13,3.1,0.59,0.18,156,4.83,67.9,15.23,11.54,2.31,13.9,0,7.1,6,1,1.5,1
5,,4.7,3.928,27.3,154,4.2,17.81,9,1.92,0.508,0.21,116,2.22,57.24,10.67,13.76,1.81,19.5,5.2,3.2,6.1,1.1,0.7,1
5,,4.82,4.451,33.4,168,5.61,16.71,10,1.86,0.524,0.205,140,2.12,56.09,10.89,13.95,1.67,18.9,5.3,3.3,5.9,1.2,0.9,1
5,,4.852,4.432,37.4,157,5.87,14.37,11,1.86,0.521,0.221,114,2.59,58.1,11.02,14.04,1.88,19,5.3,3.4,5.8,1.1,0.8,1
6,,7,5.5,65.33,135,8.82,39.56,8,1.2,0.505,0.378,189,2.74,59.38,11.6,14.6,1.92,16.5,6.9,3.4,5.5,0.8,1.4,1
6,,5.5,5.3,78.96,142,11.21,44.57,6,1.3,0.553,0.322,210,2.73,61.21,10.78,13.57,1.78,15.9,7,3.3,5.6,0.9,1.6,1
6,,6,5.2,65.66,155,10.18,45.9,5,1.45,0.572,0.364,180,2.16,58.52,11.3,14.12,1.63,16,6.8,3.1,5.7,0.8,1.9,1
7,,5.912,5.2,50.8,128,6.5,20.07,9,2.03,0.521,0.185,159,3.22,56.38,10.6,13.9,1.84,14.5,6.5,3.1,6.8,0.8,1.5,1
7,,5.921,4.712,41.24,122,5.03,15.7,11,2.07,0.515,0.185,227,2.62,58.03,10.45,12.76,1.74,14.9,6.6,2.9,6.7,0.9,1.6,2
7,,6.021,5.167,43.51,134,5.83,26.01,15,1.76,0.515,0.181,127,3.98,57.23,9.56,11.38,1.69,14.3,6.7,3.2,6.7,0.8,1.4,1
8,,7.21,5.21,52.21,76,3.97,30.61,13,3.4,0.6,0.17,174,6.32,55.31,14.3,11.82,2.01,16.2,0,6.3,6.1,0.8,1.9,2
8,,7.2,5.32,54.66,85,4.65,32.21,16,3.1,0.6,0.17,198,4.73,63.18,15.06,12.09,1.4,15.9,0,6.4,5.9,0.9,2.2,1
8,,7.12,5.62,53.32,101,5.39,31.21,7,3.1,0.59,0.18,169,4.69,72.17,13.78,10.83,2.23,16.3,0,6.6,5.9,0.8,1.8,2
9,,4.61,3.912,26.31,154,4.05,16.71,9,1.98,0.481,0.195,63,1.244,54.94,11.82,14.2,2.12,18.5,5.6,3.3,5.7,1,1.52,1
9,,4.7,4.31,32.12,148,4.75,17.81,13,1.88,0.49,0.201,108,2.02,54.9,10.23,13.34,1.6,18.4,5.7,3.6,5.8,0.9,1.05,1
9,,4.75,4.43,36.92,156,5.76,13.19,14,1.7,0.509,0.162,92,1.56,55.09,9.82,11.79,2.24,18.6,5.6,3.1,5.7,1,1.02,1
10,,7,5.5,36.98,168,6.21,15.32,11,2.03,0.505,0.378,172,3.49,58.07,16.2,13.1,2.52,22.5,6,4.9,7.8,0.9,1.09,1
10,,5.5,5.3,29.06,154,4.48,18.01,8,2.24,0.553,0.364,90,2.01,58.66,14.2,11.1,2.64,22,6.1,5.1,7.7,0.8,1.06,1
10,,6,5.2,33.2,162,5.38,15.19,9,2.24,0.572,0.322,177,3.96,57.19,15,12,2.32,21.9,5.9,5.2,7.7,0.7,1.2,1
11,,5.23,4.81,47.21,168,7.93,23.12,12.5,2.31,0.498,0.199,147,3.39,53.21,11.12,13.7,1.95,20.2,5.4,3.1,5.8,0.6,1.32,1
11,,5.921,4.712,41.24,154,6.35,21.21,8,2.11,0.532,0.213,139,2.59,54.3,10.73,12.59,2.03,19.8,5.3,2.8,5.9,0.7,1.54,1
11,,6.021,5.167,43.51,151,6.57,24.26,9,2.11,0.513,0.181,123,2.93,54.7,9.37,11.62,1.89,20,5.5,2.9,5.6,0.7,0.98,1
12,,5.23,4.81,47.21,179,8.45,24.21,12,2.31,0.498,0.199,163,3.42,65.55,10.92,13.51,1.95,19.5,5.3,2.7,6.1,1.1,1.76,2
12,,5.921,4.712,41.24,182,7.51,19.21,13,2.11,0.532,0.213,123,2.47,56.74,11.02,14.23,1.68,19.2,5.2,3,5.8,1.2,0.7,2
12,,6.021,5.167,43.51,163,7.09,23.26,14,2.11,0.513,0.181,139,2.86,54.09,9.32,12.09,2.05,18.9,5.4,2.9,5.7,1.1,1.7,2
13,,7,6.1,77.82,118.34,9.21,49.47,5,2,0.505,0.411,169,3.38,42.95,11.6,15.6,3.12,22.5,5.8,3.5,7.3,1,1.23,1
13,,6.21,5.3,79.12,134.87,10.67,51.21,7,2,0.491,0.312,115,3.44,45.39,11.5,13.6,2.89,22.4,5.7,2.9,7.4,0.9,1.9,1
13,,6.32,5.52,76.12,151.56,11.54,43.19,6,2,0.572,0.383,172,2.3,38.38,10.7,15.2,3.06,22.3,5.9,3.3,7.5,0.8,1.89,1
14,,14.52,9.437,620,53,32.86,470,27,5.43,0.755,0.632,189,10.26,67.95,12.34,9.82,1.23,28,0,2.9,9.2,0.8,1.34,3
14,,14.2,8.23,360,48,17.28,370,31,5.7,0.808,0.599,169,9.06,63.02,11.89,9.3,1.56,28.5,0,2.2,9.1,0.9,1.48,2
14,,14.72,10.236,510,56,28.56,240,24,5.21,0.808,0.634,159,8.8,62.58,11.62,9.2,1.89,27.9,0,2.1,9.3,0.8,1.44,3
15,,7,6.1,77.82,102,7.94,44.47,8,2,0.505,0.411,159,3.38,65.56,12.1,15,2.11,20,5.9,3.2,5.6,1.4,1.8,1
15,,6.21,5.3,79.12,115,9.1,42.21,7,2,0.491,0.312,184,3.34,63.16,12.98,15.79,2.23,20.5,6,2.9,5.5,1.3,2.03,1
15,,6.32,5.52,76.12,137,10.43,43.19,6,2,0.572,0.383,156,2.37,61.41,13.01,16.23,2.32,20.2,5.8,3.2,5.7,1.4,2.23,1
